"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"¬Den¬ Tag heiligen : spirituelle Impulse für Schule und Gemeinde";"9783769816532";"Josef Griesbeck";"1610452607";"2007";
"¬The¬ pedagogy of lifelong learning : understanding effective teaching and learning in diverse contexts";"0415424941";"ed. by Michael Osborne; Muir Houston and Nuala Toman";"524394113";"2007";
"Searching for the secret river";"1847670024";"Kate Grenville";"529168871";"2007";
"Gesundheit und Ernährung";"3-85487-916-4";"Gertrude Knapp ...";"1610454685";"2007";
"Kleines Nilpferd, große Freundschaft : eine wahre Geschichte";"978-3-7941-9119-2";"erzählt von Isabella Hatkoff ... Fotos von Peter Greste. Dt. von Ilse Rothfuss";"1611803705";"2007";
"Mobbing im Spannungsverhältnis sozialer Normen : eine dissonanztheoretische Betrachtung mit Untersuchung";"9783854993124";"Christoph Seydl";"550370870";"2007";
"¬Das¬ Maxi-Mini-Maus-Backbuch : Rezepte, Tipps und Tricks für kleine & große Maus-Fans";"978-3-89883-095-9";"[Rezepte und Texte: Sophie von Lenthe ... Zeichn.: Viola Hövelmann ... Red.: Eva Abenstein ...]";"1611803861";"2007";
""Schuhnummer oder Leben" : Beiträge zur Literaturdidaktik und zum kinder- und jugendliterarischen Schrifttum";"9783934038929";"hrsg. von Edward Bialek ...";"1604989610";"2007";
"Geographischer Jahresbericht aus Österreich - Beiträge zur Humangeographie und Entwicklungsforschung. - 62/63.2007";"9783900830625";"hrsg. vom Vorstand des Instituts für Geographie und Regionalforschung der Universität Wien Helmut Wohlschlägl. Schriftleitung Norbert Weixlbaumer";"568745701";"2007";
"¬Le¬ Petit Nicolas à l'Elysée : pastiche";"978-2-268-06384-3";"Gospé et Sempinny. [Dessins Alberti]";"1610503163";"2007";
"Leselöwen-Steinzeit-Wissen";"9783785543306";"Insa Bauer. Ill. von Alexander Jung";"522221769";"2007";
"¬Eine¬ Wolke in meinem Bett";"9783351040789";"Heinz Janisch. Mit Ill. von Isabel Pin";"1609822471";"2007";
"Weltverstehen und gesellschaftlicher Wandel : zur Tradition und Geschichte der Lehrerbildung und der Geistes- und Sozialwissenschaften in Hannover";"9783895347511";"Hans-Dieter Schmid (Hrsg.)";"550001247";"2007";
"Mein erstes Bildlexikon Haustiere";"9783577090261";"Bertelsmann-Lexikon-Institut. [Autorin: Antje Kleinelümern-Depping]";"522216625";"2007";
"Gute Idee! : Erfinder verändern die Welt";"3794191137";"Alexander Steffensmeier";"526807687";"2007";
"¬Le¬ petit Nicolas, Ségolène et les copains : pastiche";"9782268062419";"Gospé et Sempinny";"52957831X";"2007";
"Thinking with data";"0805854215";"ed. by Marsha C. Lovett ...";"538499389";"2007";
"¬Les¬ jeunes : questions de société, questions de politique";"";"sous la dir. de Patricia Loncle";"1343290252";"2007";
"Lifelong learning and the learning society. - 2. Globalisation, lifelong learning and the learning society : sociological perspectives";"0415355427";"Peter Jarvis";"1333812779";"2007";
"Schools and the equal opportunity problem";"026223257X";"ed. by Ludger Woessmann and Paul E. Peterson";"519489403";"2007";
"Sprache - der Schlüssel zur Welt : Spiele und Aktionen zur ganzheitlichen Sprachförderung";"9783451276897";"Gisela Walter";"1605017884";"2007";
"Harry Potter, ange ou démon?";"978-2-13-056572-7";"sous la direction d'Isabelle Smadja ...";"555984427";"2007";
"Systemische Methoden in der Erwachsenenbildung";"";"Rolf Arnold; Melanie Njo";"1348315563";"2007";
"¬The¬ concepts and practices of lifelong learning";"0415428602";"Brenda Morgan-Klein and Michael Osborne";"1609000951";"2007";
"Reinigungs- und Pflegemittel im Haushalt : Chemie, Anwendung, Ökologie und Verbrauchersicherheit";"978-3-87846-265-1";"Hrsg. Hermann G. Hauthal und Günter Wagner";"546012809";"2007";
"Großstadtlyrik des Expressionismus";"9783140222303";"von Klaus Lill";"547504705";"2007";
"Allgemeinbildung Philosophie";"9783817460953";"Angelika Tiefenbacher";"545558433";"2007";
"Transparenz beruflicher Qualifikationen : Entwicklung tätigkeitsorientierter Zertifikate";"9783763934737";"Gabriele Fietz ...";"1609012267";"2007";
"Entwicklung von beruflicher Begabung : ein Bericht über mögliche Einflussfaktoren";"9783927728448";"Margit Stein; Hans-Ludwig Schmidt";"1345046758";"2007";
"¬La¬ petite pierre : Arbeitsheft für den frühbeginnenden Französischunterricht. - 1, Kommentare und Kopiervorlagen. Cahier 1";"9783425092010";"hrsg. von Frédérique Viala. Erarb. von Frédérique Viala...";"1345048386";"2007";
"¬La¬ vie secrète des jeunes";"9782844142535";"Riad Sattouf";"1611856221";"2007";
"Lilli findet einen Zwilling";"9783794160983";"Karin Gündisch";"52680548X";"2007";
"Stichwort: Gesundheitswesen : ein Lexikon für Einsteiger und Insider";"398095627X";"Stephanie Becker-Berke; Birgit Lautwein-Reinhard";"527923478";"2007";
"Rad-Training für Triathleten und Radtouristikfahrer";"9783981142839";"Lynda Wallenfels. Aus dem Amerikan. von Marc Bleser";"527088862";"2007";
"Phonological awareness skills in German-speaking preschool children";"3824805324";"Silke Fricke";"528374230";"2007";
"Sprache und Wirklichkeit : aktivistische Sprachtheorien und Fremdsprachenunterricht";"3830028490";"Przemys•aw Jackowski";"525115951";"2007";
"Voltaire : die Waffe des Geistes";"9783891891568";"Mathias Jung. Mit Ill. von Andrea Montermann";"1343373786";"2007";
"Berufsidentität in der Sozialpädagogik : Gemeinsamkeiten und Unterschiede der Berufsidentität in verschiedenen Handlungsfeldern der Sozialpädagogik";"978-3-03-796179-7";"Nicole Dobmann; Thomas Kappeler";"545552753";"2007";
"Für die Schule nicht mehr zumutbar : der Schulausschluss als behördliche Reaktion auf abweichendes Schülerverhalten im 20. Jahrhundert in Schweizer Volksschulen";"9783039112920";"Werner Hürlimann";"545550718";"2007";
"Erwachsenenbildung bei Menschen mit geistiger Behinderung und Lernbehinderung";"";"Barbara Rinderle";"1353886786";"2007";
"Hochschule und Geschlecht : eine empirische Untersuchung zum Umgang mit Geschlechterverhältnissen";"";"Camilla Granzin";"1353892913";"2007";
"Lesekompetenzen Luxemburger Schülerinnen und Schüler auf dem Prüfstand : Ergebnisse, Analysen und Perspektiven zu PIRLS [Progress in International Reading Literacy Study] 2006";"3830919247";"Charles Berg ... (Hrsg.)";"548710503";"2007";
"Konsequent für Bildung : Kritik. Analysen. Vorschläge";"";"Albin Dannhäuser";"160989734X";"2007";
"Energie, Werkstoffe : Technologie für die berufliche Oberschule, Ausbildungsrichtung Wirtschaft";"978-3-582-02715-3";"Reinhard Schuberth";"1611904110";"2007";
"Analyse von Arbeitsprozessen in Privathaushalten im Hinblick auf die Hausgerätevernetzung";"3-8322-6566-X";"Claudia Gabler";"1610584708";"2007";
"Cultivating communities of practice : a guide to managing knowledge";"9781578513307";"Etienne Wenger; Richard McDermott; William M. Snyder";"1611904633";"2007";
"Analyse von Lernkulturen als Basis für Kompetenzentwicklung : Fallstudie bei der Sick Stegmann GmbH, Donaueschingen mit Schwerpunktlegung auf die un- und angelernten Produktionsmitarbeiter";"";"Simone Schmidle";"135389732X";"2007";
"Pfadfinder : eine weltweite Bewegung ; [die offizielle Geschichte der weltweiten Bewegung ; 100 Jahre Pfadfinder]";"3887783093";"mit einem Vorw. von Lord Baden-Powell. [Dt. Übers.: Maximilian Goblirsch. Ergänzende Texte: Klaus Röttcher]";"530892405";"2007";
"Erhebung des Verbraucherverhaltens bei der Lagerung verderblicher Lebensmittel in Europa";"3832265511";"Simone Thomas";"1610584902";"2007";
"Untersuchung zum Gesundheitsverständnis und Gesundheitsverhalten von Studierenden der Pädagogischen Hochschule Freiburg";"";"Carmen Walter";"1353898784";"2007";
"¬Eine¬ Analyse des Zusammenhangs zwischen dem Konsum von Alkopops und dem Problemverhalten von Jugendlichen : Jugendliche und Alkopops";"9783836445351";"Cornelia Metzner";"550607366";"2007";
"1939 - der Krieg, der viele Väter hatte : der lange Anlauf zum Zweiten Weltkrieg";"9783789282294";"Gerd Schultze-Rhonhof";"544003438";"2007";
"Hilfe, mein Kind spricht nicht richtig! : Sprachförderung in der Familie";"3423344199";"Claudia Schäfer";"522177778";"2007";
"Eye for Geography : Elective";"9789812477668";"Authors: Philip Tieh and Raymond Pask";"1611909112";"2007";
"Mediennutzung der 8 - 13 Jährigen in Luxemburg";"";"Yves Thill";"1353906019";"2007";
"Lärmminderung in Schulen";"978-3-89026-575-9";"Wolfgang Eberle; August Schick; Maria Klatte; Alfred Schmitz";"1609921488";"2007";
"Menschen Bilden : 27 Mosaiksteine";"9783855451470";"Arthur Brühlmeier; Hrsg. Stiftung "Schule für das Kind"";"161058869X";"2007";
"Evaluation der Gesundheitsbildung in einer Reha-Einrichtung";"";"Aline Müller";"1353906353";"2007";
"Grand Livre de Cuisine - Desserts und Patisserie";"3875150163";"Alain Ducasse. [Text:] Frédéric Robert. [Übers.: Barbara Buchwalter ...]";"518358216";"2007";
"Pädagogische Ethik bei Menschen mit Autismus";"978-3-8364-4878-9";"Frank Dieckbreder";"1610596951";"2007";
"Something good";"9781550371000";"story by Robert Munsch. Art by Michael Martchenko";"613174917";"2007";
"Analysen von Programmen zur Gewichtsreduzierung bei Kindern";"";"Tatjana Belaev";"1353906817";"2007";
"Ernährung : bewusst, aktuell, lebensnah; höhere Lehranstalten für wirtschaftliche Berufe; [HLW, HLT, LW, WIKU]";"3-85499-216-5";"Anita Reischl; Helga Rogl; Adelheid Weidlinger";"1609922336";"2007";
"¬Die¬ Betreuung von Menschen im Lebensabschnitt vor dem Tod durch ehrenamtliche Hospizhelfer";"9783832268411";"Michael Emsbach";"1611920906";"2007";
"Lauftraining für Triathleten und Marathonläufer";"3981142829";"Ken Mierke. Aus dem Amerikan. von Ariane Katibei ...";"527088919";"2007";
"Ce qu'on ne vous a pas dit sur ... Ségolène Royal, Nicolas Sarkozy, François Bayrou, Jean-Marie Le Pen, Nicolas Hulot, Jacques Chirac, José Bové, Arlette Laguiller....";"978-2-84964-057-9";"Anne Mascret et Anne-Laure Jeanvoine";"1606229133";"2007";
"Savoir rédiger : [les principaux pièges de la langue française; des conseils pour maîtriser son style; des testes et des exercises pour s'entraîner. Comment écrire sans fautes et avec style]";"9782844729873";"Jakuta Alikavazovic; ... ; Cécile van den Avenne";"1335952357";"2007";
"Bedeutung der ersten Lebensjahre als Fundament für die gesunde Gesamtentwicklung : Maria Grob";"";"Maria Grob";"1353907406";"2007";
"Musikalische Sozialisation und aktuelle Bildungspraxis : zum subjektorientierten Lehren und Lernen in der musikalischen Erwachsenenbildung";"978-1-903343-97-5";"Kyung-Sook Park";"527646202";"2007";
"Atome, Wellen, Quanten : Unterrichtskonzepte zu ausgewählten Themen moderner Physik in den Jahrgangsstufen 9 und 10 als Vorschlag zur Umsetzung des Lehrplans an bayerischen Gymnasien";"9783937082745";"Staatsinstitut f. Schulqualität u. Bildungsforschung München ; [Vorwort: Andreas Thalmaier]";"1609925254";"2007";
"Gesund leben - eigentlich einfach";"9783406547591";"Hanno D. Schmidt";"522163521";"2007";
"International handbook of English language teaching. - 1.";"";"";"1346321566";"2007";
"Multicultural handbook of school psychology : an interdisciplinary perspective";"0805845615";"ed. by Giselle B. Esquivel ...";"534679307";"2007";
"¬Une¬ vérité qui dérange : l'urgence planétaire du réchauffement climatique et ce que nous pouvons faire pour y remédier";"9782732435503";"Al Gore";"1606232118";"2007";
"Pädagogische Maßnahmen zur Förderung salutogener Ressourcen";"";"Selma Gestrich";"1353908909";"2007";
"Handbook of competence and motivation";"1593851235";"ed. by Andrew J. Elliot ...";"549386130";"2007";
"International handbook of English language teaching. - 2.";"";"";"134632221X";"2007";
"¬Une¬ France pluriculturelle : le débat sur l'intégration et les discriminations";"9782290000335";"Salvator Erba";"1606233866";"2007";
"Elefanten : Entwicklung, Verhalten, Lebensräume";"9783836955485";"Text von Ian Redmond. Fotos von Dave King. [Aus dem Engl. von Margot Wilhelmi]";"543857107";"2007";
"Delinquenz und hohe Gewaltbereitschaft junger russischer Migranten : Chancen und Grenzen pädagogischer Intervention durch Soziales Training";"9783836451529";"Antonia Krämer";"555653390";"2007";
"Amphibien : Entwicklungsgeschichte, Lebensräume und Verhalten";"9783836955492";"Text von Barry Clarke. Fotos von Geoff Brightling und Frank Greenaway";"54385664X";"2007";
"Mein Bruder Charlie";"978-3-551-58134-1";"Michael Morpurgo. Aus dem Engl. von Klaus Fritz";"523257597";"2007";
"¬La¬ double présence : histoire d'un engagement";"2020878127";"Betoule Fekkar-Lambiotte";"526157712";"2007";
"La  présidentielle 2007";"2-02-094347-6";"vue par Plantu";"1606239252";"2007";
"Falling man : a novel";"978-0-330-45618-0";"Don DeLillo";"1619196239";"2007";
"Joschi und Giraffe reisen ans Ende der Welt";"3-8270-5218-1";"Lambert Fortuin. Mit Ill. von Marije Tolman. Aus dem Niederländ. von Meike Blatnik";"1610678710";"2007";
"Alter ego : méthode de français. - 4, [Livre d'élève]. DELF B2 : [CD inclus; pour grunds adolescents et adultes]";"9783190033508";"Catherine Dollez; Sylvie Pons";"1354256891";"2007";
"Vialla und Romaro : Roman";"9783836951463";"Lilli Thal";"529141337";"2007";
"Ich bin einmalig! Kannst du mich finden? : ein Suchbilderbuch";"9783596852529";"Manjula Padmanabhan. [Übers. und Red.: Maren Illinger]";"161195939X";"2007";
"Les  charmes discrets de la vie conjugale";"978-2-266-16300-2";"Douglas Kennedy. Traduit de l'américain par Bernard Cohen";"1606239473";"2007";
"Lulu im Museum";"978-3-257-01125-8";"Posy Simmonds. Aus dem Engl. von Erica Ruetz";"1610678974";"2007";
"¬The¬ making of Mauritian Creole : analyses diachroniques à partir des textes anciens";"190329214X";"edited by Philip Baker & Guillaume Fon Sing";"1619400057";"2007";
"Künstlerisches Sprechen im Schulalter : Grundlegendes für Lehrer und Erzieher, die im Sinne der Erziehungskunst Rudolf Steiners arbeiten";"9783927286740";"Christa Slezak-Schindler. Hrsg.: Pädagogische Forschungsstelle beim Bund der Freien Waldorfschulen";"549515933";"2007";
"¬Les¬ ennemis de l'ombre";"978-2-84946-729-9";"scénario: Mathieu Mariolle. Dessin: Philippe Cardona. Encrage: Èric Pilit. Couleurs: Laurent Lagrue";"1335961402";"2007";
"¬The¬ invention of Hugo Cabret : a novel in words and pictures";"0439813786";"by Brian Selznick";"510913997";"2007";
"¬Le¬ p'tit Chirac. - 2. ¬Le¬ p'tit Sarko et la p'tite Ségo qui fait rien qu'à l'embêter!";"2-874-42401-3";"dessin: Alteau; scénario: Jim & Gaston; couleur: Nicolas Guenet";"1335961623";"2007";
"Gender roles : equal but different?. - Resource Book.";"9783526507338";"";"1335980342";"2007";
"¬The¬ media : the powers of persuasion. - Resource book.";"9783526507352";"";"1335988483";"2007";
"Playway. - 4, Teacher's book. Show what you know";"9783850613798";"";"1376363585";"2007";
"Sachunterricht im 21. Jahrhundert : Bestandsaufnahmen - Herausforderungen - Visionen";"";"Silke Pfeifer (Hrsg.)";"1614420521";"2007";
"Italien, Süden";"9783829711241";"[Text: Bernhard Abend und Anja Schliebitz. Mit Beitr. von Barbara Branscheid ... Bearb.: Peter Peter ... Chefred.: Rainer Eisenschmid]]";"634993755";"2007";
"Thinking Medieval : an introduction to the study of the Middle Ages";"9781403912947";"Marcus Bull";"1614445028";"2007";
"Für Diktate üben : neue Lernwörter-Geschichten. - 2. Vereinfachte Ausgangsschrift";"9783141230222";"";"1354342828";"2007";
"¬Die¬ Grenze : ein deutsches Bauwerk";"9783861534655";"Jürgen Ritter; Peter Joachim Lapp. Mit einem Geleitw. von Rainer Eppelmann und einem Beitr. von Ulrich Schacht";"550610251";"2007";
"College writing and beyond : a new framework for university writing instruction";"0874216591";"Anne Beaufort";"1611997259";"2007";
"Jörg Müller - die Welt ist kein Märchen : Skizzen, Illustrationen, Bilderbücher ... ; [zur Ausstellung "Jörg Müller - Die Welt ist Kein Märchen. Skizzen, Illustrationen, Bilderbücher ...", Gewerbemuseum Winterthur, 2. September - 21. Oktober 2007 ... Kornhausforum Bern, voraussichtlich Herbst 2008]";"9783907142271";"hrsg. von Inge Sauer";"558184987";"2007";
"Exploring science : [matches the QCA scheme of work]. - 7, pupil's book.";"0582535727";"";"1348589663";"2007";
"Exploring science : [matches the QCA scheme of work]. - 8, pupil's book.";"0582535719";"";"1348589876";"2007";
"Exploring science : [matches the QCA scheme of work]. - 9, pupil's book.";"0582535700";"";"1348590025";"2007";
"Geschichtsdidaktik : Identität - Bildungsgeschichte - Politik : Karl-Ernst Jeismann zum 50jährigen Doktorjubiläum";"393406485X";"Saskia Handro; Wolfgang Jacobmeyer (Hrsg.)";"555676226";"2007";
"Spectrum : key stage 3 Science. - 8 [class book].";"9780521750073";"";"1348590750";"2007";
"Für Diktate üben : neue Lernwörter-Geschichten. - 4.";"9783141220247";"";"1354342933";"2007";
"Europa als Projekt : religiöse Aspekte in einem politischen Kontext";"3825898148";"Irmgard Bock ... (Hg.)";"550223800";"2007";
"Lernpartnerschaften : im Tandem und in Gruppen gemeinsam lernen";"";"Edwin Achermann; Peter Gautschi; Ruedi Rüegsegger. FHA, Fachhochschule Aargau Nordwestschweiz, Pädagogik Weiterbildung. [Hrsg.: Fachhochschule Aargau, Pädagogik, Institut Schule und Weiterbildung]";"1610730712";"2007";
